21.07.23 Salida dinámica de lista                                              1


		Can.distr.	Pedidos	Lineas	Unidades	   Valor Neto

		01	    191	   764	  35,398	  757,864,200
		02	     69	 1,129	  27,246	  302,453,900
		07	    277	 4,206	  20,782	  219,412,000
		08	    109	 2,067	   7,169	  231,190,300
		12	      5	    10	     514	    4,434,000
		14	      0	     0	       0	            0
		15	     57	   230	     299	    3,360,500
		19	      2	    75	  13,411	  107,966,400
		51	      0	     0	       0	            0

	*		    710	 8,481	 104,819	1,626,681,300
