21.07.2023                                        Salida dinámica de lista                                                                                             1


	Documento	GTr	Denomin.	ClVt	Denominación	Solic.	Creado el	Fecha doc.	Pedido	Func.	Responsab	Creado	OrgVt	CDis	Se	OfVta	GVen	Mon.	 Valor neto

	903147769	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666499			JOBS	1000	01	01	E001	G01	COP	    26,218
	903147770	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666501			JOBS	1000	01	01	E001	G01	COP	     2,823
	903147771	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   144,756
	903147772	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666499			JOBS	1000	01	01	E001	G01	COP	    26,218
	903147773	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666499			JOBS	1000	01	01	E001	G01	COP	    13,109
	903147774	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666499			JOBS	1000	01	01	E001	G01	COP	    26,218
	903147775	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   251,748
	903147776	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666500			JOBS	1000	01	01	E001	G01	COP	    18,756
	903147777	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	    15,780
	903147778	0	Orden	ZEDI	P. EDI Pre-Distribui	1000000000	06.07.2023	06.07.2023	0020666552			JOBS	1000	01	01	E001	G01	COP	   194,328
	903147779	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666497			JOBS	1000	01	01	E001	G01	COP	    27,159
	903147780	0	Orden	ZVMI	Rep Con - EDI Predis	1000000000	06.07.2023	06.07.2023	0020666500			JOBS	1000	01	01	E001	G01	COP	     5,646
