21.07.23 Salida dinámica de lista                                              1


		Can.distr.	Pedidos	Lineas	Unidades	   Valor Neto

		01	    456	 4,010	  42,889	  844,558,900
		02	     69	 1,131	  27,294	  302,453,900
		07	    281	 4,211	  20,788	  219,419,500
		08	    109	 2,067	   7,169	  231,190,300
		12	      5	    10	     514	    4,434,000
		14	      0	     0	       0	            0
		15	     54	   227	     295	    3,365,800
		19	      2	    75	  13,345	  107,012,400
		51	      0	     0	       0	            0

	*		    976	11,731	 112,294	1,712,434,800
